filename,augmentation,duration,sample_rate,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,spectral_rolloff_mean,spectral_rolloff_std,energy_mean,energy_std,zero_crossing_rate,spectral_centroid
Antony_Voice 1_original.wav,original,3.7533333333333334,48000,-520.976806640625,79.45140075683594,123.35216522216797,49.93912887573242,47.812461853027344,20.820377349853516,16.34996795654297,24.60437774658203,-9.564894676208496,25.57481575012207,1.799167275428772,10.272994995117188,1.058196783065796,12.135729789733887,-14.183355331420898,6.979882717132568,-18.20954132080078,9.561718940734863,-5.386491775512695,11.795244216918945,-3.5859029293060303,11.664113998413086,2.950338840484619,6.411046028137207,-0.5232531428337097,8.192537307739258,3835.4270241477275,2894.852185241125,0.010862108,0.020377852,0.04617725719105114,2422.3860188428353
Antony_Voice 1_pitch_up.wav,pitch_shift_+2,3.7533333333333334,48000,-553.1197509765625,82.53457641601562,123.23686218261719,50.6240119934082,43.40534973144531,19.464597702026367,8.676412582397461,23.341304779052734,-12.831243515014648,25.951602935791016,1.7977824211120605,11.895113945007324,-4.735403060913086,10.110758781433105,-18.36976432800293,8.394579887390137,-11.914883613586426,10.100178718566895,0.5623741149902344,8.110783576965332,-0.6763702034950256,14.145500183105469,3.9250030517578125,11.348673820495605,-6.217338562011719,8.40410041809082,4535.356001420455,3237.475444714943,0.007569678,0.014304647,0.05400362881747159,2743.5161762416305
Antony_Voice 1_pitch_down.wav,pitch_shift_-2,3.7533333333333334,48000,-558.8064575195312,75.53300476074219,112.3364486694336,48.63376998901367,48.42401123046875,22.43453598022461,24.240079879760742,27.032636642456055,-4.32374382019043,23.32341194152832,1.3339619636535645,13.743561744689941,6.356167793273926,12.121784210205078,-5.56768274307251,8.669809341430664,-17.45660400390625,8.932435035705566,-10.561287879943848,11.574689865112305,-6.71792459487915,7.109417915344238,-2.1341583728790283,10.987031936645508,5.373762130737305,9.771056175231934,3703.3247514204545,2606.0655989739375,0.0072409664,0.013687835,0.045511419122869316,2226.0785555339194
Antony_Voice 1_faster.wav,time_stretch_1.2x,3.1277708333333334,48000,-575.5228271484375,86.96669006347656,137.0701446533203,49.03742980957031,45.1817512512207,22.10692024230957,15.160611152648926,26.053632736206055,-10.732534408569336,26.962636947631836,3.4127254486083984,10.924833297729492,1.8052605390548706,12.076411247253418,-14.437458038330078,7.656040191650391,-18.51651382446289,10.345314025878906,-3.3672051429748535,12.043964385986328,-3.027371644973755,13.397204399108887,3.6697163581848145,6.770493984222412,-0.3583138585090637,8.667776107788086,4026.785714285714,2899.1177209401585,0.007085497,0.012411795,0.04685507015306122,2451.679774889078
Antony_Voice 1_slower.wav,time_stretch_0.8x,4.691666666666666,48000,-548.9747314453125,76.26131439208984,112.2809829711914,49.26719665527344,46.82803726196289,19.596040725708008,18.27472496032715,24.064167022705078,-8.113465309143066,25.86256217956543,0.7849892377853394,10.940300941467285,-0.007859247736632824,12.330381393432617,-14.10940170288086,6.906425952911377,-17.450138092041016,9.397528648376465,-5.515777111053467,11.17025089263916,-3.9538516998291016,11.558350563049316,2.847336530685425,5.79730224609375,-0.013636293821036816,8.639509201049805,3905.6995738636365,2915.0996855588323,0.0071507203,0.01359749,0.048020241477272727,2439.2243027199834
Antony_Voice 1_noisy.wav,background_noise,3.7533333333333334,48000,-326.884798120433,36.14246474380452,25.143398534153654,36.419544703184904,17.924748685134144,15.64870707193876,11.13886239487686,13.94545495743723,0.9873482026136897,11.870870762875215,-0.9679041562945415,8.273801009284627,-2.592970118498542,6.824963161777317,-7.129362050602137,5.926336982655324,-7.448671972955153,6.472553682047391,-4.955999814432515,6.85106022956099,-5.207110868909998,6.282104984274136,-2.4948127504044133,4.294172437328821,-1.3089105055857653,6.3955494946137295,19077.192826704544,2729.9238638255656,0.013575134,0.019349389,0.38232421875,10480.224763133852
Antony_Voice 2_original.wav,original,3.796,48000,-508.2091064453125,92.36759185791016,135.6490478515625,56.18769454956055,36.79202651977539,27.915136337280273,27.400758743286133,21.407533645629883,-3.7133240699768066,20.83383560180664,-13.308297157287598,17.480335235595703,1.505454421043396,9.86291790008545,5.044336318969727,11.616358757019043,-8.942195892333984,9.028624534606934,-10.07673168182373,9.916603088378906,-0.2074519842863083,11.199090957641602,5.629398822784424,10.485870361328125,-3.1969821453094482,10.533513069152832,5071.51948735955,3648.3234606518554,0.015074079,0.02702908,0.04835767424508427,2619.1088092858977
Antony_Voice 2_pitch_up.wav,pitch_shift_+2,3.796,48000,-536.1857299804688,94.85347747802734,130.29086303710938,55.87852478027344,34.25022888183594,25.35176658630371,20.921001434326172,20.897926330566406,-12.154691696166992,23.45330238342285,-12.791951179504395,15.320812225341797,4.328524589538574,9.25696086883545,-1.0760115385055542,10.197712898254395,-13.158041000366211,10.728418350219727,-5.6114888191223145,10.986550331115723,5.161531448364258,10.939638137817383,3.4978981018066406,9.590423583984375,0.002866080729290843,9.335724830627441,5806.640625,4237.755780988828,0.010627871,0.018557804,0.05765284849016854,2966.199592265468
Antony_Voice 2_pitch_down.wav,pitch_shift_-2,3.796,48000,-549.8590087890625,89.98112487792969,130.66778564453125,54.660850524902344,38.09966278076172,29.615787506103516,33.06049728393555,22.78266143798828,4.259395122528076,18.027952194213867,-12.850592613220215,19.221620559692383,-3.1265101432800293,11.617094993591309,7.38846492767334,11.505721092224121,-3.1857666969299316,8.728790283203125,-10.640389442443848,8.114961624145508,-6.89198637008667,8.923833847045898,3.572666883468628,11.773537635803223,0.3528061807155609,10.203932762145996,4608.958040730337,3320.8935583450257,0.010356259,0.017988194,0.04552125395014045,2339.1276437484607
Antony_Voice 2_faster.wav,time_stretch_1.2x,3.1633333333333336,48000,-539.689453125,90.91156005859375,129.9308319091797,53.998226165771484,36.6150016784668,26.682538986206055,26.702194213867188,21.943811416625977,-5.2196149826049805,20.524188995361328,-14.580400466918945,18.258882522583008,1.3979400396347046,10.08846664428711,5.7818827629089355,11.266257286071777,-7.96004581451416,9.124100685119629,-8.978189468383789,10.08247184753418,0.06205158680677414,11.169187545776367,5.098600387573242,10.741484642028809,-3.0729823112487793,11.727273941040039,5084.832702020202,3674.951196731845,0.009803555,0.017230364,0.04829381050084175,2612.483953355833
